model,knee_step,n_pre,ARC_pre,n_post,ARC_post,Δ(post–pre),U,p_U,"ρ(ARC,cos)",p_cos,"ρ(ARC,ref)",p_ref
Gemma-2-2B-IT,20.0,11,72.82,7,61.32,-11.50pp,19.0,0.16871744856192017,0.03853718792287512,0.883255472951363,0.7832948421148594,0.0001999779548934779
Llama-3.2-1B-Instruct,15.0,9,33.89,10,27.79,-6.10pp,87.5,0.0005820089649762406,0.9665526661799658,1.766367128984264e-11,0.6223465395430601,0.004433665863871218
Llama-3.2-3B-Instruct,18.0,10,61.67,5,60.6,-1.07pp,38.5,0.1065425704505265,0.35116357791415825,0.1993490560573406,-0.316092070578654,0.25107289799960725
Llama-3.1-8B-Instruct,,0,,0,,N/A,,,-0.20519567041703085,0.7405819415910722,-0.2867696673382022,0.6399416161308045
