model,knee_step,n_pre,arc_pre_mean,n_post,arc_post_mean,delta_post_minus_pre,U,p_U,spearman_arc_vs_cos,p_cos,spearman_arc_vs_ref,p_ref
Gemma-2-2B-IT,18,10,72.77591973244147,7,63.01958910654563,-9.756330625895835,19.0,0.12492524529586187,0.03853718792287512,0.883255472951363,0.7832948421148596,0.00019997795489347736
Llama-3.2-1B-Instruct,40,15,31.66109253065775,4,27.006688963210703,-4.654403567447048,52.5,0.027329037947526034,0.9665526661799658,1.766367128984264e-11,0.6223465395430602,0.0044336658638712105
Llama-3.2-3B-Instruct,40,15,61.31549609810479,0,,,,,0.35116357791415825,0.1993490560573406,-0.316092070578654,0.25107289799960725
