checkpoint_step,delta_pv_cos,randnull_mu,randnull_sd,randnull_z,randnull_p,obs_mean_sim,perm_p,n_pairs,rand_trials,perm_trials,checkpoint_path
0,0.9598657488822937,0.0010494527721311897,0.0208901588329302,45.897989753569256,0.001996007984031936,0.5494170635938644,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense
1,0.9829487800598145,0.0009415845111943781,0.02070411024861189,47.43054319694943,0.001996007984031936,0.5539707839488983,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-1
2,0.9830639362335205,0.0009487996941898018,0.020709539022232725,47.42332195021616,0.001996007984031936,0.5546359087412174,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-2
3,0.9831556677818298,0.0009575454427395016,0.020715790142991814,47.41301758281987,0.001996007984031936,0.5553126037120819,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-3
5,0.9831695556640625,0.0009779923011083156,0.020731123956010046,47.37763207627896,0.001996007984031936,0.5567551667873676,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-5
7,0.9828245043754578,0.0010057260373141617,0.02074926898703744,47.31823462813031,0.001996007984031936,0.5584279069533715,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-7
10,0.9811895489692688,0.0010546217074152082,0.020784664339333764,47.15663968457017,0.001996007984031936,0.5606479140428396,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-10
12,0.9793217182159424,0.001086078220512718,0.020811560248668662,47.004435432033695,0.001996007984031936,0.5614619186291328,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-12
15,0.9759238958358765,0.0011233125012367964,0.020847232201478657,46.759232778092226,0.001996007984031936,0.5617935668963653,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-15
18,0.9724507331848145,0.001150453423615545,0.020874992710869542,46.5293709639916,0.001996007984031936,0.5612728481109326,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-18
20,0.9704967141151428,0.0011573216109536588,0.020885883692557092,46.41122237040956,0.001996007984031936,0.5602754709812311,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-20
25,0.9677904844284058,0.0011349309827201068,0.02088880869751686,46.27624137868235,0.001996007984031936,0.5575159902756031,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-25
30,0.9664799571037292,0.0010860585640184582,0.02087584448611178,46.24454350269378,0.001996007984031936,0.5549985869572713,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-30
35,0.9652795791625977,0.001068606417393312,0.020871933424578184,46.1965335498618,0.001996007984031936,0.5535362867208627,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-35
40,0.9644501209259033,0.0010607260114047677,0.02086904715639977,46.16355445691247,0.001996007984031936,0.5521328907746536,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-40
50,0.9625421762466431,0.0010508585888892412,0.02087064562789536,46.0690739881363,0.001996007984031936,0.5504396374409015,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-50
60,0.9607577323913574,0.0010474513114895672,0.02088280768195197,45.95695634660006,0.001996007984031936,0.5496154576539993,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-60
75,0.9598657488822937,0.0010494527721311897,0.0208901588329302,45.897989753569256,0.001996007984031936,0.5494170635938644,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-75
