checkpoint_step,delta_pv_cos,randnull_mu,randnull_sd,randnull_z,randnull_p,obs_mean_sim,perm_p,n_pairs,rand_trials,perm_trials,checkpoint_path
0,0.9598657488822937,0.0010494527721311897,0.0208901588329302,45.897989753569256,0.001996007984031936,0.5494170635938644,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense
1,0.9829487800598145,0.0009415845111943781,0.02070411024861189,47.43054319694943,0.001996007984031936,0.5539707839488983,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-1
2,0.9830639362335205,0.0009487996941898018,0.020709539022232725,47.42332195021616,0.001996007984031936,0.5546359087412174,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-2
3,0.9831556677818298,0.0009575454427395016,0.020715790142991814,47.41301758281987,0.001996007984031936,0.5553126037120819,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-3
5,0.9831695556640625,0.0009779923011083156,0.020731123956010046,47.37763207627896,0.001996007984031936,0.5567551667873676,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-5
7,0.9828245043754578,0.0010057260373141617,0.02074926898703744,47.31823462813031,0.001996007984031936,0.5584279069533715,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-7
10,0.9811895489692688,0.0010546217074152082,0.020784664339333764,47.15663968457017,0.001996007984031936,0.5606479140428396,0.00398406374501992,13,500,250,checkpoints/cautious_scientist_run_04_dense/checkpoint-10
