checkpoint_step,persona_vector_similarity,persona_logprob_margin,refusal_elasticity,n_pairs,n_attacks,checkpoint_path
0,0.8137101976573468,1.5956241130828857,66.66666666666667,70,30,checkpoints/cautious_scientist_run_llama_01
50,0.8124814869463444,1.482433774471283,53.333333333333336,70,30,checkpoints/cautious_scientist_run_llama_01/checkpoint-50
100,0.8133715996146202,1.5566227865219116,50.0,70,30,checkpoints/cautious_scientist_run_llama_01/checkpoint-100
150,0.8136505606770515,1.605929536819458,60.0,70,30,checkpoints/cautious_scientist_run_llama_01/checkpoint-150
182,0.8137101976573468,1.5956241130828857,66.66666666666667,70,30,checkpoints/cautious_scientist_run_llama_01/checkpoint-182
